index,Company,TypeName,inches,screensize,resolution_width,resolution_height,ppi,touchscreen,ips_panel,cpu_brand,cpu_core,cpu_speed,ram,primary_storage_size,primary_storage_type,secondary_storage_size,secondary_storage_type,gpu_brand,OpSys,weight,price,screen_type
0,Apple,Ultrabook,13.3,small,2560,1600,227,0,1,Intel,Core i5,2.3,8,128,SSD,0,None,Intel,mac,1.4,71379,QHD
1,Apple,Ultrabook,13.3,small,1440,900,128,0,0,Intel,Core i5,1.8,8,128,Flash,0,None,Intel,mac,1.3,47896,FHD
2,HP,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i5,2.5,8,256,SSD,0,None,Intel,no os,1.9,30636,FHD
3,Apple,Ultrabook,15.4,medium,2880,1800,221,0,1,Intel,Core i7,2.7,16,512,SSD,0,None,AMD,mac,1.8,135195,UHD
4,Apple,Ultrabook,13.3,small,2560,1600,227,0,1,Intel,Core i5,3.1,8,256,SSD,0,None,Intel,mac,1.4,96096,QHD
5,Acer,Notebook,15.6,medium,1366,768,100,0,0,AMD,A9-Series 9420,3,4,500,HDD,0,None,AMD,windows,2.1,21312,HD
6,Apple,Ultrabook,15.4,medium,2880,1800,221,0,1,Intel,Core i7,2.2,16,256,Flash,0,None,Intel,mac,2,114018,UHD
7,Apple,Ultrabook,13.3,small,1440,900,128,0,0,Intel,Core i5,1.8,8,256,Flash,0,None,Intel,mac,1.3,61736,FHD
8,Asus,Ultrabook,14,medium,1920,1080,157,0,0,Intel,Core i7,1.8,16,512,SSD,0,None,Nvidia,windows,1.3,79654,FHD
9,Acer,Ultrabook,14,medium,1920,1080,157,0,1,Intel,Core i5,1.6,8,256,SSD,0,None,Intel,windows,1.6,41026,FHD
10,HP,Notebook,15.6,medium,1366,768,100,0,0,Intel,Core i5,2.5,4,500,HDD,0,None,Intel,no os,1.9,20987,HD
11,HP,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i3,2,4,500,HDD,0,None,Intel,no os,1.9,18381,FHD
12,Apple,Ultrabook,15.4,medium,2880,1800,221,0,1,Intel,Core i7,2.8,16,256,SSD,0,None,AMD,mac,1.8,130002,UHD
13,Dell,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i3,2,4,256,SSD,0,None,AMD,windows,2.2,26581,FHD
14,Apple,Ultrabook,12,small,2304,1440,226,0,1,Intel,Core M,1.2,8,256,SSD,0,None,Intel,mac,0.9,67261,QHD
15,Apple,Ultrabook,13.3,small,2560,1600,227,0,1,Intel,Core i5,2.3,8,256,SSD,0,None,Intel,mac,1.4,80908,QHD
16,Dell,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i7,2.7,8,256,SSD,0,None,AMD,windows,2.2,39694,FHD
17,Apple,Ultrabook,15.4,medium,2880,1800,221,0,1,Intel,Core i7,2.9,16,512,SSD,0,None,AMD,mac,1.8,152274,UHD
18,Lenovo,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i3,2.4,8,1024,HDD,0,None,Nvidia,no os,2.2,26587,FHD
19,Dell,Ultrabook,13.3,small,1920,1080,166,1,1,Intel,Core i5,1.6,8,128,SSD,0,None,Intel,windows,1.2,52161,FHD
21,Lenovo,Gaming,15.6,medium,1920,1080,141,0,1,Intel,Core i5,2.5,8,128,SSD,1024,HDD,Nvidia,windows,2.5,53227,FHD
22,HP,Notebook,15.6,medium,1366,768,100,0,0,AMD,E-Series E2-9000e,1.5,4,500,HDD,0,None,AMD,no os,1.9,13746,HD
23,Dell,2 in 1 Convertible,13.3,small,1920,1080,166,1,0,Intel,Core i5,1.6,8,256,SSD,0,None,Intel,windows,1.6,43636,FHD
24,HP,Ultrabook,15.6,medium,1920,1080,141,0,0,Intel,Core i7,1.8,8,256,SSD,0,None,Intel,windows,1.9,35112,FHD
25,Dell,Notebook,15.6,medium,1366,768,100,0,0,Intel,Core i3,2,4,1024,HDD,0,None,Intel,windows,2.3,22305,HD
26,Apple,Ultrabook,13.3,small,1440,900,128,0,0,Intel,Core i5,1.6,8,128,Flash,0,None,Intel,mac,1.4,58555,FHD
27,Dell,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i5,1.6,8,256,SSD,0,None,AMD,windows,2.2,42624,FHD
28,Dell,Ultrabook,15.6,medium,1920,1080,141,0,0,Intel,Core i7,1.9,8,256,SSD,256,SSD,Intel,windows,1.9,69157,FHD
29,HP,Notebook,17.3,large,1920,1080,127,0,0,Intel,Core i5,1.6,8,1024,HDD,0,None,Nvidia,windows,2.5,47739,FHD
30,Chuwi,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Atom x5-Z8300,1.4,4,64,Flash,0,None,Intel,windows,1.9,13053,FHD
31,Asus,Notebook,14,medium,1366,768,112,0,0,AMD,E-Series E2-6110,1.5,4,32,Flash,0,None,AMD,windows,1.7,10603,HD
32,HP,Notebook,17.3,large,1920,1080,127,0,0,AMD,A6-Series 9220,2.5,4,500,HDD,0,None,AMD,windows,2.7,23390,FHD
33,Dell,Ultrabook,13.3,small,3200,1800,276,1,0,Intel,Core i7,1.8,16,512,SSD,0,None,Intel,windows,1.2,99580,UHD
34,Apple,Ultrabook,13.3,small,1440,900,128,0,0,Intel,Core i5,1.6,8,256,Flash,0,None,Intel,mac,1.4,53173,FHD
35,Lenovo,Notebook,14,medium,1366,768,112,0,0,Intel,Celeron Dual,1.1,4,64,Flash,0,None,Intel,windows,1.4,13267,HD
36,Acer,Notebook,15.6,medium,1366,768,100,0,0,Intel,Core i3,2.7,4,1024,HDD,0,None,Intel,linux,2.1,19554,HD
37,Dell,Notebook,17.3,large,1920,1080,127,0,1,Intel,Core i5,1.6,8,128,SSD,1024,HDD,AMD,windows,2.8,52161,FHD
38,HP,Notebook,15.6,medium,1366,768,100,0,0,Intel,Core i5,2.5,4,1024,HDD,0,None,Intel,windows,1.9,26037,HD
39,HP,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i5,1.6,8,256,SSD,0,None,Nvidia,windows,2.1,46833,FHD
40,Asus,Notebook,15.6,medium,1920,1080,141,0,0,Intel,Core i3,2,4,1024,HDD,0,None,Intel,linux,2,20726,FHD
